means.Models	means.NP	means.logL	means.AICc	means.Lambda	means.AlphaEnv.	means.Mu	means.BetaEnv.	std.err.Models	std.err.NP	std.err.logL	std.err.AICc	std.err.Lambda	std.err.AlphaEnv.	std.err.Mu	std.err.BetaEnv.
BEnv.Var_EXPO	2	-85.7940052744613	176.032454993367	0.147361094331075	0.00559135027832704	NA	NA	BEnv.Var_EXPO	2	0.0567977004805135	0.113595400961018	0.000342126984369853	8.65146113516167e-05	NA	NA
BEnv.VarDCST_EXPO	3	-85.7551685481908	178.433414019458	0.187352469902939	0.00909414509007828	0.0509622034391963	NA	BEnv.VarDCST_EXPO	3	0.0589817696378733	0.117963539275751	0.00241094272991114	0.000182157857144743	0.00270685169125876	NA
BCSTDEnv.Var_EXPO	3	-85.9898395236259	178.902755970329	0.133167577637221	NA	5.71318237408477e-07	0.0177001040570784	BCSTDEnv.Var_EXPO	3	0.0578817284972527	0.115763456994497	0.000275323854458775	NA	6.19550920036612e-08	0.00049919734402789
BEnv.VarDEnv.Var_EXPO	4	-85.6393809513872	180.878761902774	0.192131772777171	0.0110773217746007	0.078227255206873	0.0411952816302956	BEnv.VarDEnv.Var_EXPO	4	0.0640303135074015	0.128060627014809	0.00221830105737125	0.000198126910226944	0.00321031739020796	0.00154132341965183
BEnv.Var_LIN	2	-85.76476946915	175.973983382744	0.149111068613876	0.000822728901718178	NA	NA	BEnv.Var_LIN	2	0.0569805879743262	0.113961175948642	0.000352076158047073	9.71553685437657e-06	NA	NA
BEnv.VarDCST_LIN	3	-85.5415980425859	178.006273008249	0.48874621371236	0.00678214669107542	0.349327390045744	NA	BEnv.VarDCST_LIN	3	0.067863257445275	0.135726514890548	0.014177636002028	0.000242347921740771	0.0132605849556497	NA
BCSTDEnv.Var_LIN	3	-85.98987360541	178.902824133897	0.133260348230293	NA	5.50863001955271e-06	-6.78913087470957e-08	BCSTDEnv.Var_LIN	3	0.0578816204991164	0.115763240998237	0.00027872533342672	NA	9.26017505671027e-07	1.87885438440788e-08
BEnv.VarDEnv.Var_LIN	4	-85.5059693197291	180.611938639458	0.313679727389194	0.00386973292453213	0.204148875363088	0.00154839408284804	BEnv.VarDEnv.Var_LIN	4	0.0721477867347632	0.144295573469528	0.017962643267972	0.0002996818802898	0.0177620568275807	0.000207118833656736
