means.Models	means.NP	means.logL	means.AICc	means.Lambda	means.AlphaEnv.	means.Mu	means.BetaEnv.	std.err.Models	std.err.NP	std.err.logL	std.err.AICc	std.err.Lambda	std.err.AlphaEnv.	std.err.Mu	std.err.BetaEnv.
BEnv.Var_EXPO	2	-864.28027000873	1732.60370548509	0.318635385046217	-0.000274526227836315	NA	NA	BEnv.Var_EXPO	2	0.0719567488442286	0.143913497688507	0.000518634985576336	5.94558088088542e-07	NA	NA
BEnv.VarDCST_EXPO	3	-864.283388782114	1734.65342016351	0.320231182623999	-0.000275989401087033	3.64379782838758e-07	NA	BEnv.VarDCST_EXPO	3	0.0721968053025977	0.144393610605173	0.000786894886279028	7.99085802907197e-07	1.93700762911055e-07	NA
BCSTDEnv.Var_EXPO	3	-870.325282164137	1746.73720692755	0.126303127768407	NA	0.0224795460131179	-0.0215148403540495	BCSTDEnv.Var_EXPO	3	0.0986222645031329	0.19724452900623	4.47513876200541e-05	NA	7.70803626940142e-06	1.23746276106716e-05
BEnv.VarDEnv.Var_EXPO	4	-864.129487154672	1736.40390184557	0.342780161464072	-0.00028671693358767	0.134466587722788	-0.00124637404495078	BEnv.VarDEnv.Var_EXPO	4	0.0720269264794994	0.144053852959024	0.0105606167121981	4.95650601272113e-06	0.0317480269658753	1.16288214228479e-05
BEnv.Var_LIN	2	-862.929864500641	1729.90289446891	0.296605485431459	-4.95242922449916e-05	NA	NA	BEnv.Var_LIN	2	0.0629865308473536	0.125973061694694	0.000444988915259416	1.40468410976268e-07	NA	NA
BEnv.VarDCST_LIN	3	-862.938245142962	1731.9631328852	0.298227814919156	-4.99664169523094e-05	4.08698582560918e-05	NA	BEnv.VarDCST_LIN	3	0.0631472136254685	0.126294427250949	0.000765823515165561	2.20412449101538e-07	3.17187152417513e-05	NA
BCSTDEnv.Var_LIN	3	-870.357677293241	1746.80199718576	0.126420271152633	NA	0.000986439682699907	-2.9272732863952e-07	BCSTDEnv.Var_LIN	3	0.100931011922196	0.201862023844362	8.32366145121987e-05	NA	0.000485164578539752	1.44029127411633e-07
BEnv.VarDEnv.Var_LIN	4	-862.428094348947	1733.00111623413	0.300883868063711	-5.01998451673721e-05	0.0509383335688832	-1.31150554483486e-05	BEnv.VarDEnv.Var_LIN	4	0.0634178057550091	0.126835611510045	0.00210126499178144	5.44664106438461e-07	0.00135964897039797	3.23623562656597e-07
