means.Models	means.NP	means.logL	means.AICc	means.Lambda	means.AlphaEnv.	means.Mu	means.BetaEnv.	std.err.Models	std.err.NP	std.err.logL	std.err.AICc	std.err.Lambda	std.err.AlphaEnv.	std.err.Mu	std.err.BetaEnv.
BEnv.Var_EXPO	2	-41.2466835961014	87.5842762831119	0.0830033340383534	0.0661331427784842	NA	NA	BEnv.Var_EXPO	2	0	0	0	0	NA	NA
BEnv.VarDCST_EXPO	3	-41.2466836751466	90.8933673502932	0.0830054999121325	0.0661403644358179	2.47500685520346e-08	NA	BEnv.VarDCST_EXPO	3	0	0	0	0	0	NA
BCSTDEnv.Var_EXPO	3	-45.8880817312191	100.176163462438	0.0629871349117846	NA	2.0476543529127e-08	-0.00242860318249544	BCSTDEnv.Var_EXPO	3	0	0	0	NA	0	0
BEnv.VarDEnv.Var_EXPO	4	-41.2466836229072	94.9378116902588	0.0830199051658609	0.0661348757436342	3.73367663001709e-09	-0.00502482613276219	BEnv.VarDEnv.Var_EXPO	4	0	0	0	0	0	0
BEnv.Var_LIN	2	-42.8488549428966	90.7886189767024	0.0815026802938228	0.00183702737038806	NA	NA	BEnv.Var_LIN	2	0	0	0	0	NA	NA
BEnv.VarDCST_LIN	3	-42.8504219753051	94.1008439506102	0.0802453553249717	0.00179996867716412	1.69857117438748e-08	NA	BEnv.VarDCST_LIN	3	0	0	0	0	0	NA
BCSTDEnv.Var_LIN	3	-45.8880870075788	100.176174015158	0.0630338364512617	NA	3.47993652550429e-09	8.66272611906173e-09	BCSTDEnv.Var_LIN	3	0	0	0	NA	0	0
BEnv.VarDEnv.Var_LIN	4	-42.881087071432	98.2066185873085	0.0743136915774979	0.00359591848270883	1.89478563231458e-08	-3.24403652206463e-09	BEnv.VarDEnv.Var_LIN	4	0	0	0	0	0	0
