means.Models	means.NP	means.logL	means.AICc	means.Lambda	means.AlphaTime	means.Mu	means.BetaTime	std.err.Models	std.err.NP	std.err.logL	std.err.AICc	std.err.Lambda	std.err.AlphaTime	std.err.Mu	std.err.BetaTime
BCST	1	-290.6362	583.31089	0.174964	NA	NA	NA	BCST	1	0.114444400509945	0.228880189157754	0.000192298799483586	NA	NA	NA
BCSTDCST	2	-290.63619	585.38893	0.174957	NA	0	NA	BCSTDCST	2	0.114444101917208	0.228882322220945	0.000192113471309499	NA	0	NA
BTimeVar_EXPO	2	-286.36115	576.83878	0.123523	0.0684892	NA	NA	BTimeVar_EXPO	2	0.0799014486095153	0.159801009832336	0.000359165292129831	0.000322954719908397	NA	NA
BTimeVarDCST_EXPO	3	-286.36119	578.95769	0.123606	0.0684199	0	NA	BTimeVarDCST_EXPO	3	0.0799058571006528	0.159810091649211	0.000356222663314093	0.000324472796792868	0	NA
BCSTDTimeVar_EXPO	3	-290.63635	587.50805	0.174752	NA	0	0.0126973	BCSTDTimeVar_EXPO	3	0.114445474093142	0.228875522330856	0.000194964280592807	NA	0	7.70437177480711e-05
BTimeVarDTimeVar_EXPO	4	-286.36123	581.11851	0.123558	0.0684786	0	0.0099656	BTimeVarDTimeVar_EXPO	4	0.0798980560755171	0.159802548932908	0.000359315229768284	0.000322634922680936	0	0.00117014285858392
BTimeVar_LIN	2	-285.34803	574.81248	0.096752	0.0171288	NA	NA	BTimeVar_LIN	2	0.0764540245487245	0.152907348641872	0.000577917683139086	9.61423901924598e-05	NA	NA
BTimeVarDCST_LIN	3	-285.34806	576.93132	0.096741	0.0171314	1e-07	NA	BTimeVarDCST_LIN	3	0.0764578537364199	0.152899221368028	0.000575917528818146	9.54534124030877e-05	1e-07	NA
BCSTDTimeVar_LIN	3	-290.66909	587.5734	0.174977	NA	0	0	BCSTDTimeVar_LIN	3	0.114463001913591	0.228926033663471	0.000200755416797997	NA	0	0
BTimeVarDTimeVar_LIN	4	-280.36046	569.11703	0.008157	0.1191209	0.099118	-0.0937008	BTimeVarDTimeVar_LIN	4	0.118051224474802	0.236095045684931	0.000332247488988847	0.00103736584718656	0.00218991748380129	0.00084411765755609
