means.Models	means.NP	means.logL	means.AICc	means.Lambda	means.AlphaTime	means.Mu	means.BetaTime	std.err.Models	std.err.NP	std.err.logL	std.err.AICc	std.err.Lambda	std.err.AlphaTime	std.err.Mu	std.err.BetaTime
BCST	1	-85.98538	174.11339	0.133225	NA	NA	NA	BCST	1	0.0578941663815112	0.115762616647739	0.000272242371960922	NA	NA	NA
BCSTDCST	2	-85.98538	176.41509	0.133279	NA	0	NA	BCSTDCST	2	0.0578941663815112	0.115776529865412	0.000278060726599006	NA	0	NA
BTimeVar_EXPO	2	-85.92792	176.3002	0.123944	0.0115298	NA	NA	BTimeVar_EXPO	2	0.0536428437242869	0.107286418318237	0.000630145598054509	0.000476242595424821	NA	NA
BTimeVarDCST_EXPO	3	-85.92708	178.77743	0.124645	0.0129864	0.0042686	NA	BTimeVarDCST_EXPO	3	0.0534607146993154	0.106918668471305	0.000520332789780936	0.000758173996180856	0.0010632932833723	NA
BCSTDTimeVar_EXPO	3	-85.98538	178.89364	0.133268	NA	0	0.0086449	BCSTDTimeVar_EXPO	3	0.0578941663815112	0.115784450134417	0.000273650518107688	NA	0	0.000163425792939731
BTimeVarDTimeVar_EXPO	4	-85.91182	181.42391	0.124372	0.0292508	0.0197568	0.0451287	BTimeVarDTimeVar_EXPO	4	0.0501888582347625	0.100375604802133	0.000558783093386464	0.00471833995092821	0.00492134956213509	0.00346273438591148
BTimeVar_LIN	2	-85.93198	176.30853	0.123279	0.0015959	NA	NA	BTimeVar_LIN	2	0.0537528894783594	0.107517693592048	0.000655718119717042	6.33859582002962e-05	NA	NA
BTimeVarDCST_LIN	3	-85.93128	178.78554	0.123888	0.0020068	0.0062775	NA	BTimeVarDCST_LIN	3	0.0536007426452394	0.10720261795763	0.000561810349394588	0.000145085824826744	0.00156370906756334	NA
BCSTDTimeVar_LIN	3	-85.9899	178.90286	0.133208	NA	0	0	BCSTDTimeVar_LIN	3	0.0578878844985475	0.115766119169102	0.000273598097931837	NA	0	0
BTimeVarDTimeVar_LIN	4	-84.65302	178.90589	0.025908	0.1793823	0.270118	0.0164907	BTimeVarDTimeVar_LIN	4	0.0596602992708794	0.119338447406077	0.000947323374438515	0.00315129414767196	0.00371180404285103	0.0152217497628734
