means.Models	means.NP	means.logL	means.AICc	means.Lambda	means.AlphaEnv.	means.Mu	means.BetaEnv.	std.err.Models	std.err.NP	std.err.logL	std.err.AICc	std.err.Lambda	std.err.AlphaEnv.	std.err.Mu	std.err.BetaEnv.
BEnv.Var_EXPO	2	-858.371635495876	1720.78643645938	0.0629268685938514	0.138311921714465	NA	NA	BEnv.Var_EXPO	2	0.0578611637073066	0.115722327414621	0.000135467600080948	0.000343995711439622	NA	NA
BEnv.VarDCST_EXPO	3	-858.385094703602	1722.85683200648	0.0630289633784322	0.138491008141043	0.000588164236648115	NA	BEnv.VarDCST_EXPO	3	0.0578248340633863	0.115649668126746	0.000170321692359716	0.000382877993481539	0.000587183935341534	NA
BCSTDEnv.Var_EXPO	3	-870.325485863657	1746.73761432659	0.126433710157757	NA	7.24805889018563e-08	0.00817311857067648	BCSTDEnv.Var_EXPO	3	0.0986323954406556	0.197264790881328	4.25134246228659e-05	NA	3.28014644810858e-09	1.73322528918748e-05
BEnv.VarDEnv.Var_EXPO	4	-858.325290989306	1724.79550951485	0.0623934126435077	0.142680478447391	0.000660396413572092	-0.0563482364149251	BEnv.VarDEnv.Var_EXPO	4	0.0696738020079332	0.139347604015881	0.000355713762386831	0.00299117326992467	0.000466072071465969	0.00655313013662588
BEnv.Var_LIN	2	-855.423811943692	1714.89078935501	0.0259855959355295	0.0211798406223585	NA	NA	BEnv.Var_LIN	2	0.0637556731400314	0.127511346280091	0.000287551556662881	5.49650741447392e-05	NA	NA
BEnv.VarDCST_LIN	3	-854.412222736882	1714.91108807304	0.00449693597971924	0.0395895990158682	0.103685304601636	NA	BEnv.VarDCST_LIN	3	0.0681621388888565	0.136324277777732	0.000295466313512405	0.000117297881636019	0.000572993719900449	NA
BCSTDEnv.Var_LIN	3	-870.326638907003	1746.73992041328	0.126343149968071	NA	5.9426410138172e-07	-2.06264696076632e-08	BCSTDEnv.Var_LIN	3	0.0986273449919404	0.197254689983883	5.79425778878933e-05	NA	1.26677172000393e-07	2.7097822409965e-08
BEnv.VarDEnv.Var_LIN	4	-850.369182886748	1708.88329330973	0.080464167526844	0.078100236295469	0.0799494198366311	-0.0374484722015651	BEnv.VarDEnv.Var_LIN	4	0.110952095492688	0.221904190985376	0.00125739085444567	0.000841601304874772	0.00222434445826691	0.000328665776330432
