means.Models	means.NP	means.logL	means.AICc	means.Lambda	means.AlphaEnv.	means.Mu	means.BetaEnv.	std.err.Models	std.err.NP	std.err.logL	std.err.AICc	std.err.Lambda	std.err.AlphaEnv.	std.err.Mu	std.err.BetaEnv.
BEnv.Var_EXPO	2	-283.722270345612	571.561045545593	0.253545020471613	0.018408295339889	NA	NA	BEnv.Var_EXPO	2	0.0961209951972158	0.192241990394433	0.000382792076085205	9.78018518223171e-05	NA	NA
BEnv.VarDCST_EXPO	3	-283.722336018147	573.679966153941	0.253550720991164	0.0184064313738373	6.71041837598276e-07	NA	BEnv.VarDCST_EXPO	3	0.0961292574428171	0.192258514885639	0.00039276705183056	9.82386325541309e-05	7.01523797475413e-08	NA
BCSTDEnv.Var_EXPO	3	-290.668618785801	587.57253168925	0.174792934420231	NA	9.46648055385247e-08	0.0249900532444763	BCSTDEnv.Var_EXPO	3	0.114471248936262	0.228942497872519	0.000192762721028222	NA	8.34526083738873e-09	0.00019699591803597
BEnv.VarDEnv.Var_EXPO	4	-283.568276818978	575.532593241917	0.290840129249363	0.0214288856661757	0.0611333176945283	0.0356111213494273	BEnv.VarDEnv.Var_EXPO	4	0.105471474494673	0.210942948989352	0.00296059340382075	0.000221107633058009	0.00448075544917445	0.0019265269455496
BEnv.Var_LIN	2	-282.79555257328	569.707610000928	0.248578354712879	0.00306594347237473	NA	NA	BEnv.Var_LIN	2	0.1072886610162	0.214577322032416	0.00038726158874843	1.23780892753927e-05	NA	NA
BEnv.VarDCST_LIN	3	-282.795261361114	571.825816839876	0.251375347502393	0.00311201510487772	0.00326465079703173	NA	BEnv.VarDCST_LIN	3	0.107668072586409	0.215336145172828	0.000845203437506588	1.78742515541154e-05	0.000739245797886908	NA
BCSTDEnv.Var_LIN	3	-290.668823304297	587.572940726241	0.174772745659728	NA	1.50261582801893e-07	-1.77198314336814e-10	BCSTDEnv.Var_LIN	3	0.114477769466456	0.228955538932912	0.000192524828627845	NA	1.890006742319e-08	1.28930640535272e-09
BEnv.VarDEnv.Var_LIN	4	-282.654277958475	573.70459552091	0.291277583715167	0.00375435527795066	0.0743944671195503	0.00261805019845492	BEnv.VarDEnv.Var_LIN	4	0.113852125367015	0.227704250734032	0.00180777596678412	3.18419206105972e-05	0.00252434118751114	9.77848113908336e-05
