means.Models	means.NP	means.logL	means.AICc	means.Lambda	means.AlphaEnv.	means.Mu	means.BetaEnv.	std.err.Models	std.err.NP	std.err.logL	std.err.AICc	std.err.Lambda	std.err.AlphaEnv.	std.err.Mu	std.err.BetaEnv.
BEnv.Var_EXPO	2	-648.322719434997	1300.70125282348	0.50910855304837	-0.000378348833574244	NA	NA	BEnv.Var_EXPO	2	0.0755833448349688	0.151166689669901	0.00145112032466019	9.79945006862804e-07	NA	NA
BEnv.VarDCST_EXPO	3	-648.372486798079	1302.85712312887	0.557827050556332	-0.000403853847374259	8.47212247755263e-06	NA	BEnv.VarDCST_EXPO	3	0.0758271476251732	0.151654295250366	0.00365984947609901	2.02912291241942e-06	8.04907537754852e-06	NA
BCSTDEnv.Var_EXPO	3	-654.739287322331	1315.59072417737	0.137934414059588	NA	0.0236087292781681	-0.0235665438772963	BCSTDEnv.Var_EXPO	3	0.108401670914908	0.216803341829804	6.94855126171715e-05	NA	9.83713209473813e-06	1.56496970693936e-05
BEnv.VarDEnv.Var_EXPO	4	-648.339027365109	1304.86584815745	0.5551996340368	-0.00040124167416338	0.0676052488591813	-0.00118066912067278	BEnv.VarDEnv.Var_EXPO	4	0.0754626851439185	0.15092537028786	0.00356609887924941	1.91610584928896e-06	0.00128212704871265	2.50639738645595e-05
BEnv.Var_LIN	2	-647.471294053152	1298.99840205979	0.38635695456983	-7.0566313714655e-05	NA	NA	BEnv.Var_LIN	2	0.0704931571066552	0.140986314213374	0.00190356069899798	5.25430094458128e-07	NA	NA
BEnv.VarDCST_LIN	3	-647.487037304334	1301.08622414138	0.401849540500601	-7.47470928283105e-05	0.00027568154143948	NA	BEnv.VarDCST_LIN	3	0.070117802182181	0.140235604364366	0.00164834701214935	4.4563552638229e-07	0.000248262977600372	NA
BCSTDEnv.Var_LIN	3	-654.740696441731	1315.59354241617	0.137933750077074	NA	4.51545480119308e-07	-9.79952146786452e-12	BCSTDEnv.Var_LIN	3	0.108408711115019	0.216817422230009	8.15870952629725e-05	NA	5.55172578715951e-08	2.69819880589812e-11
BEnv.VarDEnv.Var_LIN	4	-647.097015008549	1302.38182344433	0.401399526609192	-7.41451975317649e-05	0.0602632222721736	-1.52287293225573e-05	BEnv.VarDEnv.Var_LIN	4	0.0678306197738692	0.135661239547716	0.00131788867071737	3.7522754540646e-07	0.000539562388689804	1.35068320407497e-07
