means.Models	means.NP	means.logL	means.AICc	means.Lambda	means.AlphaEnv.	means.Mu	means.BetaEnv.	std.err.Models	std.err.NP	std.err.logL	std.err.AICc	std.err.Lambda	std.err.AlphaEnv.	std.err.Mu	std.err.BetaEnv.
BEnv.Var_EXPO	2	-645.24048161886	1294.53677719121	0.177360662695205	0.0150403387463137	NA	NA	BEnv.Var_EXPO	2	0.0888943911730169	0.177788782346088	0.000118036586789355	5.42164448880223e-05	NA	NA
BEnv.VarDCST_EXPO	3	-645.240661264992	1296.59347206269	0.177435406881363	0.0150552605432533	4.46454441049276e-07	NA	BEnv.VarDCST_EXPO	3	0.0888846027128716	0.177769205425759	0.000122622345549412	5.46687565445273e-05	5.22059438319288e-08	NA
BCSTDEnv.Var_EXPO	3	-654.739321578034	1315.59079268878	0.137916858265886	NA	8.33181902968753e-08	0.0164048355988306	BCSTDEnv.Var_EXPO	3	0.108401188893474	0.216802377786951	7.09072269778297e-05	NA	6.13982507071052e-09	2.84786168526634e-05
BEnv.VarDEnv.Var_EXPO	4	-645.240268476823	1298.66833038088	0.177458510770376	0.0150494297560118	8.17965558053159e-05	0.000247583844258861	BEnv.VarDEnv.Var_EXPO	4	0.0889033494672677	0.177806698934525	0.000137051609328996	5.62222797185559e-05	8.1376499171334e-05	0.00112700839944703
BEnv.Var_LIN	2	-643.208017105418	1290.47184816432	0.180365256400186	0.00213985837420421	NA	NA	BEnv.Var_LIN	2	0.098870169307683	0.197740338615371	0.000138284623204205	6.20059921066134e-06	NA	NA
BEnv.VarDCST_LIN	3	-643.20655785532	1292.52526524335	0.181665754646406	0.00216286815544873	0.00158611396085501	NA	BEnv.VarDCST_LIN	3	0.099086243639539	0.198172487279117	0.0004536775514752	1.01168160401253e-05	0.000473137856403268	NA
BCSTDEnv.Var_LIN	3	-654.739966446141	1315.59208242499	0.138046667923114	NA	1.51290674020392e-07	2.39744971025386e-09	BCSTDEnv.Var_LIN	3	0.108450315156514	0.216900630313009	7.14393422757036e-05	NA	3.1055573355744e-08	2.9471343289716e-09
BEnv.VarDEnv.Var_LIN	4	-643.148946351375	1294.48568612998	0.190624850139978	0.00232984376399784	0.0182757486394364	0.000538598365017844	BEnv.VarDEnv.Var_LIN	4	0.102614886994301	0.205229773988645	0.000582582697696297	1.2967812646395e-05	0.000811853614225557	2.36798408461713e-05
