means.Models	means.NP	means.logL	means.AICc	means.Lambda	means.AlphaTime	means.Mu	means.BetaTime	std.err.Models	std.err.NP	std.err.logL	std.err.AICc	std.err.Lambda	std.err.AlphaTime	std.err.Mu	std.err.BetaTime
BCST	1	-2071.8565	4145.71934	0.103266	NA	NA	NA	BCST	1	0.488377999094965	0.976752155139518	8.20103467234286e-05	NA	NA	NA
BCSTDCST	2	-2071.85654	4147.73235	0.103278	NA	0	NA	BCSTDCST	2	0.488379467346092	0.976754950749234	8.1123176077923e-05	NA	0	NA
BTimeVar_EXPO	2	-2045.95415	4095.9276	0.074919	0.0360632	NA	NA	BTimeVar_EXPO	2	0.352520239801485	0.705031705139935	0.000135867545421966	0.00010199642299135	NA	NA
BTimeVarDCST_EXPO	3	-2045.95439	4097.94732	0.074909	0.0360685	0	NA	BTimeVarDCST_EXPO	3	0.352523037973436	0.705048146343656	0.000137386096072126	0.00010232285752322	0	NA
BCSTDTimeVar_EXPO	3	-2071.85677	4149.75211	0.10328	NA	0	0.0024894	BCSTDTimeVar_EXPO	3	0.488363669314233	0.976727065967221	8.27921823274725e-05	NA	0	0.000202944427881331
BTimeVarDTimeVar_EXPO	4	-2045.4184	4098.90124	0.074233	0.0393497	0.0015066	0.0275176	BTimeVarDTimeVar_EXPO	4	0.398174475486931	0.796337045429404	0.000263105213812561	0.00128949988312751	0.000713085318255194	0.00300027484303311
BTimeVar_LIN	2	-2037.6555	4079.33012	0.057108	0.0058113	NA	NA	BTimeVar_LIN	2	0.316162677567844	0.632321706140603	0.000217630397460901	1.88077219258581e-05	NA	NA
BTimeVarDCST_LIN	3	-2037.6598	4081.35817	0.057057	0.0058117	0	NA	BTimeVarDCST_LIN	3	0.316172600541751	0.632341625647297	0.000223905892027987	2.04351919664845e-05	0	NA
BCSTDTimeVar_LIN	3	-2071.96906	4149.97669	0.103257	NA	0	0	BCSTDTimeVar_LIN	3	0.48837791705054	0.976752965128791	8.30754190631937e-05	NA	0	0
BTimeVarDTimeVar_LIN	4	-2024.53269	4057.12983	0.017546	0.023196	0.0111749	-0.0183976	BTimeVarDTimeVar_LIN	4	0.39576615702899	0.791527243615056	0.000460915689391534	0.000297943354388452	0.000733125735009578	0.000242760268328217
