means.Models	means.NP	means.logL	means.AICc	means.Lambda	means.AlphaTime	means.Mu	means.BetaTime	std.err.Models	std.err.NP	std.err.logL	std.err.AICc	std.err.Lambda	std.err.AlphaTime	std.err.Mu	std.err.BetaTime
BCST	1	-654.6899	1311.39829	0.138022	NA	NA	NA	BCST	1	0.108295164837922	0.216591519506701	6.99434114701364e-05	NA	NA	NA
BCSTDCST	2	-654.6899	1313.43558	0.138047	NA	0	NA	BCSTDCST	2	0.108296444535312	0.21658929256204	6.91573378155736e-05	NA	0	NA
BTimeVar_EXPO	2	-647.67746	1299.4108	0.102001	0.0453179	NA	NA	BTimeVar_EXPO	2	0.0729238407483793	0.145844543638393	0.000141959554632702	0.000122763326129688	NA	NA
BTimeVarDCST_EXPO	3	-647.67755	1301.46729	0.10198	0.0453864	0	NA	BTimeVarDCST_EXPO	3	0.0729254211194875	0.145850240263253	0.000141678252645659	0.000123614709333624	0	NA
BCSTDTimeVar_EXPO	3	-654.68991	1315.49191	0.138032	NA	0	0.004373	BCSTDTimeVar_EXPO	3	0.108295953546499	0.2165973246125	6.8252058096027e-05	NA	0	0.000259923201555903
BTimeVarDTimeVar_EXPO	4	-647.67754	1303.54294	0.102	0.0453257	0	0.0121831	BTimeVarDTimeVar_EXPO	4	0.0729318755324919	0.14585721315829	0.000141599805969165	0.000125351647195182	0	0.000842249773349373
BTimeVar_LIN	2	-646.67838	1297.41253	0.088294	0.0082175	NA	NA	BTimeVar_LIN	2	0.0675014339989838	0.135006121413779	0.000224993018971386	2.7681950871288e-05	NA	NA
BTimeVarDCST_LIN	3	-646.67842	1299.469	0.08828	0.0082246	1e-07	NA	BTimeVarDCST_LIN	3	0.0675067855624136	0.135005443960568	0.000227498473743354	2.81268483118816e-05	1e-07	NA
BCSTDTimeVar_LIN	3	-654.74031	1315.59272	0.138186	NA	0	0	BCSTDTimeVar_LIN	3	0.108360341337353	0.216715033799566	8.60821782609004e-05	NA	0	0
BTimeVarDTimeVar_LIN	4	-636.92924	1282.04615	0.008176	0.0934389	0.1304575	-0.0724518	BTimeVarDTimeVar_LIN	4	0.117767088335194	0.235524600518704	0.000219435087385216	0.000415765787190312	0.000779019798182046	0.00156247787785552
