means.Models	means.NP	means.logL	means.AICc	means.Lambda	means.AlphaEnv.	means.Mu	means.BetaEnv.	std.err.Models	std.err.NP	std.err.logL	std.err.AICc	std.err.Lambda	std.err.AlphaEnv.	std.err.Mu	std.err.BetaEnv.
BEnv.Var_EXPO	2	-2037.47486381538	4078.96898926801	0.126216557848538	0.0168903299025696	NA	NA	BEnv.Var_EXPO	2	0.431194761124107	0.862389522248076	0.000106170920905077	6.19009459499794e-05	NA	NA
BEnv.VarDCST_EXPO	3	-2037.47449284279	4080.98757089459	0.126245779825539	0.0168974224112898	1.56771762202342e-07	NA	BEnv.VarDCST_EXPO	3	0.431080426816735	0.862160853633449	0.000103893814957518	6.27427733270595e-05	1.32586354432133e-08	NA
BCSTDEnv.Var_EXPO	3	-2071.9681610922	4149.9749073934	0.103234590903734	NA	4.21566180092598e-08	0.0180052065188882	BCSTDEnv.Var_EXPO	3	0.488346673313838	0.976693346627765	8.46716575051075e-05	NA	2.77247581380714e-09	0.000122743264796531
BEnv.VarDEnv.Var_EXPO	4	-2037.4750855503	4083.01458333893	0.126282851740346	0.0169019538309313	1.49748857082855e-07	-0.000699229968441085	BEnv.VarDEnv.Var_EXPO	4	0.431127329503829	0.862254659007656	0.000100273452509592	6.16605264594086e-05	2.29034399972172e-08	0.000324628603405306
BEnv.Var_LIN	2	-2032.94694291491	4069.91314746706	0.128363214250203	0.00163558192181225	NA	NA	BEnv.Var_LIN	2	0.456817287679779	0.913634575359568	0.000120994330291265	5.07217540972105e-06	NA	NA
BEnv.VarDCST_LIN	3	-2032.94821561665	4071.9350164423	0.128367740706026	0.00163491762916374	2.13546317795922e-07	NA	BEnv.VarDCST_LIN	3	0.456732444729528	0.913464889459004	0.000118940033962379	5.01758430806775e-06	2.24051863275244e-08	NA
BCSTDEnv.Var_LIN	3	-2071.9692824486	4149.9771501062	0.103291688037255	NA	5.56310756893518e-08	1.21993468036367e-09	BCSTDEnv.Var_LIN	3	0.488408140778049	0.976816281556144	8.14687881525454e-05	NA	4.39535631066964e-09	1.21164074280993e-09
BEnv.VarDEnv.Var_LIN	4	-2031.28538861143	4070.63518946118	0.176907669268261	0.00234244238065279	0.00145869841300128	0.00292185449261639	BEnv.VarDEnv.Var_LIN	4	0.419568784194559	0.839137568389117	0.000942429999965892	1.43109184176839e-05	9.28276685099964e-05	0.000202382925451806
