means.Models	means.NP	means.logL	means.AICc	means.Lambda	means.AlphaEnv.	means.Mu	means.BetaEnv.	std.err.Models	std.err.NP	std.err.logL	std.err.AICc	std.err.Lambda	std.err.AlphaEnv.	std.err.Mu	std.err.BetaEnv.
BEnv.Var_EXPO	2	-857.289727880634	1718.62262122889	0.160582189742264	0.0157382009595035	NA	NA	BEnv.Var_EXPO	2	0.0774927297553554	0.154985459510678	7.38182994311813e-05	4.42019696285774e-05	NA	NA
BEnv.VarDCST_EXPO	3	-857.289804211257	1720.66625102179	0.1606099637558	0.0157435413881807	4.6622945070539e-07	NA	BEnv.VarDCST_EXPO	3	0.0774933916761252	0.15498678335224	7.55013734957011e-05	4.47319329326775e-05	6.58676627935613e-08	NA
BCSTDEnv.Var_EXPO	3	-870.325483175217	1746.73760894971	0.126433480870919	NA	9.47831073935693e-08	0.0164139353536402	BCSTDEnv.Var_EXPO	3	0.0986330414713803	0.197266082942795	4.20799679676055e-05	NA	7.39386213908101e-09	9.99071804409685e-06
BEnv.VarDEnv.Var_EXPO	4	-857.275909562351	1722.69674666093	0.161119421148838	0.0158248967054962	0.000666075602019737	0.0156727452941061	BEnv.VarDEnv.Var_EXPO	4	0.0786785492172808	0.157357098434578	0.000222942041505275	5.91237295682718e-05	0.000256041663366318	0.00327202766151682
BEnv.Var_LIN	2	-855.212424398248	1714.46801426412	0.16182647967823	0.00192563372070467	NA	NA	BEnv.Var_LIN	2	0.0883842534497404	0.176768506899477	8.50375808486831e-05	4.17515759556297e-06	NA	NA
BEnv.VarDCST_LIN	3	-855.212940818974	1716.51252423723	0.162006978620634	0.00192898711477263	0.000208360842150383	NA	BEnv.VarDCST_LIN	3	0.0883790003239511	0.176758000647924	0.000140451338047295	4.77967816765347e-06	0.000124978130321121	NA
BCSTDEnv.Var_LIN	3	-870.326294553903	1746.73923170708	0.126425707710117	NA	1.67083029525772e-07	-2.2137503606209e-09	BCSTDEnv.Var_LIN	3	0.0986552528843401	0.19731050576868	5.13618784441887e-05	NA	3.8813119397062e-08	2.20664370529634e-09
BEnv.VarDEnv.Var_LIN	4	-855.160465857373	1718.46585925098	0.170679876353478	0.00207863035432406	0.0155350666359199	0.000607405047636434	BEnv.VarDEnv.Var_LIN	4	0.0914865062640424	0.182973012528053	0.000315984487641575	7.0141192753792e-06	0.000450967698557582	1.81306868180127e-05
