means.Models	means.NP	means.logL	means.AICc	means.Lambda	means.AlphaTime	means.Mu	means.BetaTime	std.err.Models	std.err.NP	std.err.logL	std.err.AICc	std.err.Lambda	std.err.AlphaTime	std.err.Mu	std.err.BetaTime
BCST	1	-45.887	94.107	0.063	NA	NA	NA	BCST	1	0	0	0	NA	NA	NA
BCSTDCST	2	-45.887	96.864	0.063	NA	0	NA	BCSTDCST	2	0	0	0	NA	0	NA
BTimeVar_EXPO	2	-44.082	93.254	0.0285	0.07527	NA	NA	BTimeVar_EXPO	2	0	0	0	0	NA	NA
BTimeVarDCST_EXPO	3	-44.082	96.563	0.0285	0.07525	0	NA	BTimeVarDCST_EXPO	3	0	0	0	0	0	NA
BCSTDTimeVar_EXPO	3	-45.887	100.173	0.063	NA	0	0.00273	BCSTDTimeVar_EXPO	3	0	0	0	NA	0	0
BTimeVarDTimeVar_EXPO	4	-44.082	100.608	0.0285	0.07523	0	0.01659	BTimeVarDTimeVar_EXPO	4	0	0	0	0	0	0
BTimeVar_LIN	2	-41.915	88.921	0.0148	0.00866	NA	NA	BTimeVar_LIN	2	0	0	0	0	NA	NA
BTimeVarDCST_LIN	3	-41.915	92.23	0.0149	0.0087	0	NA	BTimeVarDCST_LIN	3	0	0	0	0	0	NA
BCSTDTimeVar_LIN	3	-45.888	100.176	0.063	NA	0	0	BCSTDTimeVar_LIN	3	0	0	0	NA	0	0
BTimeVarDTimeVar_LIN	4	-39.536	91.516	0.0499	0.06312	0.94314	-0.12027	BTimeVarDTimeVar_LIN	4	0	0	0	0	0	0
