means.Models	means.NP	means.logL	means.AICc	means.Lambda	means.AlphaEnv.	means.Mu	means.BetaEnv.	std.err.Models	std.err.NP	std.err.logL	std.err.AICc	std.err.Lambda	std.err.AlphaEnv.	std.err.Mu	std.err.BetaEnv.
BEnv.Var_EXPO	2	-2028.48665682947	4060.99257529617	0.0398118089656091	0.173433004275871	NA	NA	BEnv.Var_EXPO	2	0.343250840735369	0.686501681470664	0.000155523163508361	0.000543056987398017	NA	NA
BEnv.VarDCST_EXPO	3	-2029.8029663642	4065.64451793741	0.0418352568126554	0.169404214737104	0.00220466662266588	NA	BEnv.VarDCST_EXPO	3	0.710971450501016	1.4219429010019	0.00104324117012088	0.00289257346492875	0.0010207352214174	NA
BCSTDEnv.Var_EXPO	3	-2071.96803323503	4149.97465167907	0.103217609745157	NA	5.21121838009929e-08	0.00243012753442083	BCSTDEnv.Var_EXPO	3	0.488369926214831	0.976739852429686	8.15810062686538e-05	NA	3.61926280722635e-09	0.000101584962710692
BEnv.VarDEnv.Var_EXPO	4	-2028.42690399928	4064.91822023689	0.0395133715380101	0.176209873004492	0.000225786242288251	-0.0603312934608695	BEnv.VarDEnv.Var_EXPO	4	0.348996667911484	0.697993335822957	0.00018399721779511	0.00135104572208671	0.00012805972068051	0.0130287442883487
BEnv.Var_LIN	2	-2022.93197382988	4049.88320929699	0.00661356421189612	0.0189470177310366	NA	NA	BEnv.Var_LIN	2	0.366275844613509	0.732551689226977	0.000311702980502263	5.39533134965418e-05	NA	NA
BEnv.VarDCST_LIN	3	-2021.68014429358	4049.39887379617	0.0184887233566031	0.0332532064553414	0.0845844296441863	NA	BEnv.VarDCST_LIN	3	0.383615998564729	0.767231997129532	0.000656374735212246	0.000387961932161924	0.00212937552178602	NA
BCSTDEnv.Var_LIN	3	-2071.97432617719	4149.98723756339	0.103105549918761	NA	9.43982044789854e-07	-1.99377279642124e-08	BCSTDEnv.Var_LIN	3	0.48822795325444	0.976455906508997	9.12063494134347e-05	NA	4.57268484872717e-07	5.78459919535831e-08
BEnv.VarDEnv.Var_LIN	4	-2021.17871070706	4050.42183365245	0.0264488949065894	0.0367385015023517	0.0717884940083677	-0.000697004988399763	BEnv.VarDEnv.Var_LIN	4	0.409047016114216	0.818094032228413	0.00109884721100727	0.000613562244104017	0.00234406289326208	0.000593230782839013
