means.Models	means.NP	means.logL	means.AICc	means.Lambda	means.AlphaEnv.	means.Mu	means.BetaEnv.	std.err.Models	std.err.NP	std.err.logL	std.err.AICc	std.err.Lambda	std.err.AlphaEnv.	std.err.Mu	std.err.BetaEnv.
BEnv.Var_EXPO	2	-85.9071693829599	176.258783210364	0.113353282753629	0.0345139016250587	NA	NA	BEnv.Var_EXPO	2	0.0538738676928096	0.107747735385614	0.000777626577391779	0.00103262939232186	NA	NA
BEnv.VarDCST_EXPO	3	-85.8946896291739	178.712456181425	0.113237823807753	0.0486291456053269	0.020562050612747	NA	BEnv.VarDCST_EXPO	3	0.0512051223031509	0.102410244606295	0.000780951314135242	0.00382688348468298	0.0046978392384069	NA
BCSTDEnv.Var_EXPO	3	-85.9898407215769	178.902758366231	0.133198566134346	NA	2.43693939759657e-07	0.00840074156262309	BCSTDEnv.Var_EXPO	3	0.0578817324959052	0.115763464991804	0.000274882436871643	NA	1.70028368293018e-08	0.000139914538764636
BEnv.VarDEnv.Var_EXPO	4	-85.8642299852496	181.328459970499	0.108536047793511	0.0747927763783261	0.0161894932139801	0.0179712697210267	BEnv.VarDEnv.Var_EXPO	4	0.0448920364740179	0.0897840729480407	0.00181796254093299	0.0108250045099959	0.00403346807111122	0.00947182662922298
BEnv.Var_LIN	2	-85.8956335956826	176.23571163581	0.108789340335609	0.00525054835850651	NA	NA	BEnv.Var_LIN	2	0.053761291579545	0.107522583159095	0.000883330654868396	0.000139910570989209	NA	NA
BEnv.VarDCST_LIN	3	-85.8013803356454	178.525837594368	0.0696387517472218	0.0345054039589529	0.169546471744709	NA	BEnv.VarDCST_LIN	3	0.0474368090088013	0.0948736180176006	0.00170074446892759	0.00108313033156227	0.00577783987046306	NA
BCSTDEnv.Var_LIN	3	-85.9898526120129	178.902782147103	0.133179693121499	NA	2.411159098024e-06	1.10019530187957e-06	BCSTDEnv.Var_LIN	3	0.057881470205559	0.115762940411119	0.000273077601046888	NA	1.21926052904888e-06	7.36935776507417e-07
BEnv.VarDEnv.Var_LIN	4	-84.8205785697217	179.241157139443	0.306171028725729	0.26754818962179	0.23300388841888	-0.17059182586966	BEnv.VarDEnv.Var_LIN	4	0.0634686365837496	0.126937273167506	0.00367455431888062	0.00289014736983564	0.00324890826202761	0.00387399455465806
