means.Models	means.NP	means.logL	means.AICc	means.Lambda	means.AlphaEnv.	means.Mu	means.BetaEnv.	std.err.Models	std.err.NP	std.err.logL	std.err.AICc	std.err.Lambda	std.err.AlphaEnv.	std.err.Mu	std.err.BetaEnv.
BEnv.Var_EXPO	2	-44.4164367279622	93.9237825468335	0.340063724780215	-0.000558251326561922	NA	NA	BEnv.Var_EXPO	2	0	0	0	0	NA	NA
BEnv.VarDCST_EXPO	3	-44.4164373295244	97.2328746590489	0.339699028088903	-0.000557934502952733	5.88053809175959e-08	NA	BEnv.VarDCST_EXPO	3	0	0	0	0	0	NA
BCSTDEnv.Var_EXPO	3	-45.0182260605248	98.4364521210496	0.0679579503565659	NA	16039.2261053408	-0.00692992760285427	BCSTDEnv.Var_EXPO	3	0	0	0	NA	0	0
BEnv.VarDEnv.Var_EXPO	4	-40.4853515799775	93.4151476043995	26.2199912514172	-0.00187853056486625	268.200913499168	-0.00292639127475833	BEnv.VarDEnv.Var_EXPO	4	0	0	0	0	0	0
BEnv.Var_LIN	2	-42.145512266187	89.3819336232831	0.31407191594432	-7.86456183946485e-05	NA	NA	BEnv.Var_LIN	2	0	0	0	0	NA	NA
BEnv.VarDCST_LIN	3	-42.1455320075528	92.6910640151056	0.314526268577072	-7.87599738357277e-05	4.00868508706009e-07	NA	BEnv.VarDCST_LIN	3	0	0	0	0	0	NA
BCSTDEnv.Var_LIN	3	-45.8880833394692	100.176166678938	0.0630091694029519	NA	5.34677067981325e-07	-1.68949665433457e-10	BCSTDEnv.Var_LIN	3	0	0	0	NA	0	0
BEnv.VarDEnv.Var_LIN	4	-41.9462671413939	96.3369787272323	0.314562941618679	-7.85741548850316e-05	0.0508056616405549	-1.3876211040659e-05	BEnv.VarDEnv.Var_LIN	4	0	0	0	0	0	0
