means.Models	means.NP	means.logL	means.AICc	means.Lambda	means.AlphaEnv.	means.Mu	means.BetaEnv.	std.err.Models	std.err.NP	std.err.logL	std.err.AICc	std.err.Lambda	std.err.AlphaEnv.	std.err.Mu	std.err.BetaEnv.
BEnv.Var_EXPO	2	-644.961427703418	1293.97866936032	0.0684811313300415	0.144148098887572	NA	NA	BEnv.Var_EXPO	2	0.0693821658984773	0.138764331796943	0.000184815392341611	0.000437137044967306	NA	NA
BEnv.VarDCST_EXPO	3	-644.961560263158	1296.03527005903	0.0684946172369519	0.144167404783729	9.60854864894977e-07	NA	BEnv.VarDCST_EXPO	3	0.0693779957965836	0.138755991593167	0.000188311836277457	0.000445614541131708	1.11871310907952e-07	NA
BCSTDEnv.Var_EXPO	3	-654.739320961062	1315.59079145483	0.13790741300172	NA	7.71965904913485e-08	0.00935081969482577	BCSTDEnv.Var_EXPO	3	0.108401587217109	0.216803174434227	7.08827667099696e-05	NA	8.46193645742619e-09	1.52525775793678e-05
BEnv.VarDEnv.Var_EXPO	4	-644.890857974051	1297.96950937533	0.0673896697201458	0.153351371229381	0.00143405946884334	-0.0439508537570082	BEnv.VarDEnv.Var_EXPO	4	0.0853783631356165	0.1707567262712	0.000537458856513973	0.00483227620277565	0.000789576841369289	0.00919628059288943
BEnv.Var_LIN	2	-642.58971552088	1289.23524499525	0.0274025109845521	0.0242624761043504	NA	NA	BEnv.Var_LIN	2	0.0750743487384132	0.150148697476905	0.000385409753930975	7.61387009569923e-05	NA	NA
BEnv.VarDCST_LIN	3	-641.449483006363	1289.01111554544	0.0124734663058794	0.049717429248352	0.136398805367131	NA	BEnv.VarDCST_LIN	3	0.0766081329719687	0.153216265943965	0.00042248697723714	0.000143677684387244	0.000717257547629588	NA
BCSTDEnv.Var_LIN	3	-654.739846196057	1315.59184192482	0.138040716654076	NA	4.78646621260779e-07	-1.67515686695143e-09	BCSTDEnv.Var_LIN	3	0.10846063111072	0.216921262221484	6.83226934235636e-05	NA	1.1378543218614e-07	1.75572170422785e-08
BEnv.VarDEnv.Var_LIN	4	-637.646851775183	1283.4814969776	0.117213957508391	0.108528385089455	0.129913685150517	-0.0511638755351753	BEnv.VarDEnv.Var_LIN	4	0.12199764650451	0.243995293009028	0.00121845770236062	0.00087100481277057	0.0015226946242208	0.000459434220063478
