means.Models	means.NP	means.logL	means.AICc	means.Lambda	means.AlphaEnv.	means.Mu	means.BetaEnv.	std.err.Models	std.err.NP	std.err.logL	std.err.AICc	std.err.Lambda	std.err.AlphaEnv.	std.err.Mu	std.err.BetaEnv.
BEnv.Var_EXPO	2	-85.9347933228097	176.314031090064	0.190977111137075	-0.000101068374941619	NA	NA	BEnv.Var_EXPO	2	0.0533730253828163	0.106746050765644	0.00255139714901708	4.34299591747522e-06	NA	NA
BEnv.VarDCST_EXPO	3	-85.9341673538461	178.791411630769	0.204632391095056	-0.000112683662796469	0.00322424984844862	NA	BEnv.VarDCST_EXPO	3	0.0532135063367623	0.106427012673526	0.00511554007490815	6.13563371337525e-06	0.000803121229984067	NA
BCSTDEnv.Var_EXPO	3	-85.9898387406172	178.902754404311	0.133176653976041	NA	0.023164728433499	-0.0227663535362437	BCSTDEnv.Var_EXPO	3	0.057881692123549	0.115763384247102	0.000275145622878358	NA	2.54300722852386e-05	4.68330590496178e-05
BEnv.VarDEnv.Var_EXPO	4	-85.9340987437686	181.468197487537	0.202833094863311	-0.000109964539361337	0.0359825394022999	-0.00490840887724558	BEnv.VarDEnv.Var_EXPO	4	0.0532060854550796	0.106412170910148	0.00522000222073009	6.35912556760312e-06	0.0015753580053531	0.000403772017307285
BEnv.Var_LIN	2	-85.9351713923256	176.314787229096	0.181617279045839	-1.38275026115985e-05	NA	NA	BEnv.Var_LIN	2	0.0535770314449167	0.107154062889841	0.00173939224755958	5.69415651375233e-07	NA	NA
BEnv.VarDCST_LIN	3	-85.9348795603451	178.792836043767	0.188392043414023	-1.53726664436915e-05	0.00275597053022949	NA	BEnv.VarDCST_LIN	3	0.0535124972119895	0.107024994423971	0.00298618518817601	8.52548670400236e-07	0.000686330381884811	NA
BCSTDEnv.Var_LIN	3	-85.9905473736139	178.904171670305	0.133260399459844	NA	0.000419920008992512	-5.97149145918968e-08	BCSTDEnv.Var_LIN	3	0.0580142511518059	0.116028502303615	0.000280500909215162	NA	0.000151263743447053	3.7443559193361e-08
BEnv.VarDEnv.Var_LIN	4	-85.9338945926535	181.467789185307	0.195124074327002	-1.67801379815702e-05	0.0344791636602147	-9.76612215785989e-06	BEnv.VarDEnv.Var_LIN	4	0.0536682481157898	0.107336496231578	0.00298316078869843	8.42868468729432e-07	0.000774924378591374	4.41519610805646e-07
