means.Models	means.NP	means.logL	means.AICc	means.Lambda	means.AlphaEnv.	means.Mu	means.BetaEnv.	std.err.Models	std.err.NP	std.err.logL	std.err.AICc	std.err.Lambda	std.err.AlphaEnv.	std.err.Mu	std.err.BetaEnv.
BEnv.Var_EXPO	2	-2047.12871436243	4098.2766903621	0.279256855778933	-0.000311257791586701	NA	NA	BEnv.Var_EXPO	2	0.352647373581261	0.705294747162611	0.000600455989139046	9.16731402863626e-07	NA	NA
BEnv.VarDCST_EXPO	3	-2047.16126039337	4100.36110599574	0.280326256878841	-0.000312119342024506	1.23489787426599e-07	NA	BEnv.VarDCST_EXPO	3	0.353974804962313	0.707949609924505	0.000980331850726517	1.20233639344912e-06	1.20154478906998e-08	NA
BCSTDEnv.Var_EXPO	3	-2071.96859641951	4149.97577804802	0.103217166584649	NA	0.0208790203116716	-0.0183420427124135	BCSTDEnv.Var_EXPO	3	0.488370507054453	0.976741014108822	8.1752739834086e-05	NA	0.000317214431291358	0.000415730383050254
BEnv.VarDEnv.Var_EXPO	4	-2043.59490549203	4095.25422322239	0.392677198056763	-0.000383006810064181	0.366138660056307	-0.00138203503358515	BEnv.VarDEnv.Var_EXPO	4	0.424017133965174	0.848034267930449	0.0170862839705688	1.03273518478851e-05	0.0331013106496154	2.19361988867627e-05
BEnv.Var_LIN	2	-2039.96407082118	4083.94740327961	0.266321424465403	-4.93464420387297e-05	NA	NA	BEnv.Var_LIN	2	0.318368290834023	0.63673658166799	0.000502876199494218	1.66060692477739e-07	NA	NA
BEnv.VarDCST_LIN	3	-2040.3611020649	4086.7607893388	0.27810020797237	-5.24340840987782e-05	0.00194645682660697	NA	BEnv.VarDCST_LIN	3	0.331643267448439	0.663286534896797	0.00190254589856391	5.13155541740848e-07	0.000400382625481631	NA
BCSTDEnv.Var_LIN	3	-2072.05513155631	4150.14884832163	0.103561524659585	NA	5.76453440862712e-05	1.92259136016191e-08	BCSTDEnv.Var_LIN	3	0.480359956946792	0.960719913893671	0.000200161198605935	NA	3.27522175424588e-05	1.09797658711209e-08
BEnv.VarDEnv.Var_LIN	4	-2037.28731580749	4082.6390438533	0.313889435594742	-6.14171502256866e-05	0.0827859354952042	-2.09951599006699e-05	BEnv.VarDEnv.Var_LIN	4	0.423429659363938	0.846859318727869	0.0168661444778591	4.28280179878913e-06	0.0174364111802109	4.10841346923421e-06
