means.Models	means.NP	means.logL	means.AICc	means.Lambda	means.AlphaEnv.	means.Mu	means.BetaEnv.	std.err.Models	std.err.NP	std.err.logL	std.err.AICc	std.err.Lambda	std.err.AlphaEnv.	std.err.Mu	std.err.BetaEnv.
BEnv.Var_EXPO	2	-42.5251934180611	90.1412959270313	0.0048716415959559	0.410281786935503	NA	NA	BEnv.Var_EXPO	2	0	0	0	0	NA	NA
BEnv.VarDCST_EXPO	3	-42.5251934079356	93.4503868158711	0.00488226209224873	0.410026736771923	2.9117970356596e-08	NA	BEnv.VarDCST_EXPO	3	0	0	0	0	0	NA
BCSTDEnv.Var_EXPO	3	-45.8880810973798	100.17616219476	0.0629782676260675	NA	3.06462981234863e-09	0.00263813934655654	BCSTDEnv.Var_EXPO	3	0	0	0	NA	0	0
BEnv.VarDEnv.Var_EXPO	4	-42.5252014975763	97.494847439597	0.00490201858264068	0.409465628522965	4.17395169720868e-07	-0.447297075127722	BEnv.VarDEnv.Var_EXPO	4	0	0	0	0	0	0
BEnv.Var_LIN	2	-42.1515792576289	89.3940676061669	0.0515779269611598	0.0202874335610282	NA	NA	BEnv.Var_LIN	2	0	0	0	0	NA	NA
BEnv.VarDCST_LIN	3	-42.1516124840933	92.7032249681865	0.0513119293600037	0.0202579101684812	2.51964045708557e-08	NA	BEnv.VarDCST_LIN	3	0	0	0	0	0	NA
BCSTDEnv.Var_LIN	3	-45.8880817658984	100.176163531797	0.0629745581933006	NA	1.472489446181e-07	2.9600188920206e-08	BCSTDEnv.Var_LIN	3	0	0	0	NA	0	0
BEnv.VarDEnv.Var_LIN	4	-39.7531940379142	91.9508325202729	0.180732032767057	0.127585107004029	2.08102582609467	-0.368686010702583	BEnv.VarDEnv.Var_LIN	4	0	0	0	0	0	0
