means.Models	means.NP	means.logL	means.AICc	means.Lambda	means.AlphaEnv.	means.Mu	means.BetaEnv.	std.err.Models	std.err.NP	std.err.logL	std.err.AICc	std.err.Lambda	std.err.AlphaEnv.	std.err.Mu	std.err.BetaEnv.
BEnv.Var_EXPO	2	-283.576374678389	571.269254211146	0.0749023127861971	0.195320861241087	NA	NA	BEnv.Var_EXPO	2	0.0780379111670765	0.156075822334157	0.000384238011260542	0.000888201019897163	NA	NA
BEnv.VarDCST_EXPO	3	-283.616127421791	573.467548961229	0.0757054075629794	0.194011442344267	0.00063094381525371	NA	BEnv.VarDCST_EXPO	3	0.0825717404236974	0.165143480847403	0.000810678982279657	0.00165817127126799	0.000629667242945511	NA
BCSTDEnv.Var_EXPO	3	-290.668688235287	587.57267058822	0.174602100132661	NA	7.9319663387318e-08	0.0123771454651945	BCSTDEnv.Var_EXPO	3	0.114469090168306	0.228938180336612	0.000188012501711882	NA	3.56074939249115e-09	0.000142346927979163
BEnv.VarDEnv.Var_EXPO	4	-283.576438884737	575.548917373435	0.0749195397065593	0.195307330186206	4.55059157235288e-07	-0.169152757361521	BEnv.VarDEnv.Var_EXPO	4	0.0780384786831092	0.156076957366215	0.000386534078539149	0.000897578831762262	3.63622397695623e-08	0.013552646313988
BEnv.Var_LIN	2	-282.0621499477	568.240804749769	0.0112817325006696	0.0409387018583504	NA	NA	BEnv.Var_LIN	2	0.0887641082631549	0.177528216526303	0.000737175358430989	0.000188209860624632	NA	NA
BEnv.VarDCST_LIN	3	-281.693085371081	569.621464859809	0.0279844936723889	0.0678779254621411	0.129006115487028	NA	BEnv.VarDCST_LIN	3	0.0865737569347185	0.17314751386944	0.00096119093973517	0.000399162940838904	0.00179298835638705	NA
BCSTDEnv.Var_LIN	3	-290.66966048613	587.574615089908	0.174939010106227	NA	1.08277631569588e-06	8.89070808067929e-08	BCSTDEnv.Var_LIN	3	0.11448153063271	0.228963061265419	0.000197153582315193	NA	6.18774302103703e-07	1.24182216925562e-07
BEnv.VarDEnv.Var_LIN	4	-279.585998045431	567.568035694823	0.147382174121079	0.138820120542641	0.0862571475005069	-0.0640744117558239	BEnv.VarDEnv.Var_LIN	4	0.123426083811273	0.246852167622554	0.00264062175800833	0.00200660447999163	0.0033037620175615	0.00335167013038972
