means.Models	means.NP	means.logL	means.AICc	means.Lambda	means.AlphaEnv.	means.Mu	means.BetaEnv.	std.err.Models	std.err.NP	std.err.logL	std.err.AICc	std.err.Lambda	std.err.AlphaEnv.	std.err.Mu	std.err.BetaEnv.
BEnv.Var_EXPO	2	-286.769035358754	577.654575571878	1.61101805402485	-0.000610100359280886	NA	NA	BEnv.Var_EXPO	2	0.0810857222182968	0.162171444436595	0.0158281935055132	3.03210193785183e-06	NA	NA
BEnv.VarDCST_EXPO	3	-286.770704320796	579.776702759239	1.68474062623454	-0.000622449814125601	1.21951381621699e-06	NA	BEnv.VarDCST_EXPO	3	0.0811090630682577	0.162218126136519	0.0155462003397045	2.89878601930999e-06	5.77850753187217e-07	NA
BCSTDEnv.Var_EXPO	3	-290.668604272887	587.57250266342	0.17478141110518	NA	0.0271920149223316	-0.0300857305826793	BCSTDEnv.Var_EXPO	3	0.114471518477565	0.228943036955138	0.000192417233131883	NA	2.03281646341086e-05	3.40024461026165e-05
BEnv.VarDEnv.Var_EXPO	4	-286.766642978318	581.929325560596	1.6849010754075	-0.000622149121130597	0.179136599031726	-0.00181040295988933	BEnv.VarDEnv.Var_EXPO	4	0.0810969302230175	0.162193860446035	0.0155180930812137	2.88635464833427e-06	0.0015576498432427	7.16639228816347e-05
BEnv.Var_LIN	2	-285.996277816081	576.109060486531	0.77364847121855	-0.000162237643168473	NA	NA	BEnv.Var_LIN	2	0.152923052400386	0.30584610480078	0.0138228313240311	3.60555504609826e-06	NA	NA
BEnv.VarDCST_LIN	3	-285.866409395958	577.968112909564	0.777556440573564	-0.000163124642536163	0.00203774917955011	NA	BEnv.VarDCST_LIN	3	0.0862192413145369	0.172438482629068	0.0108032002513936	2.66581430227139e-06	0.00188246619532431	NA
BCSTDEnv.Var_LIN	3	-290.671323393642	587.577940904932	0.174913255229769	NA	9.10357571004533e-07	-5.43201683090076e-11	BCSTDEnv.Var_LIN	3	0.114823541465382	0.229647082930766	0.000212846614711542	NA	1.56659045552792e-07	4.83892112812855e-11
BEnv.VarDEnv.Var_LIN	4	-285.66207309073	579.72018578542	0.77718424400608	-0.000162482767398273	0.098537856931035	-2.52136415051534e-05	BEnv.VarDEnv.Var_LIN	4	0.107337975516381	0.214675951032759	0.0107960587256562	2.68109430438552e-06	0.00154706174081901	7.87562310133383e-07
